Priority Rank,Name,Type,Location,Bay Area?,Known Advisor/Contact,Capacity Band,Giving Themes,Evidence of Alignment,Why They Fit This Clinic,Suggested Ask Range,Best Entry Point,Outreach Angle,Risks / Caveats,Alignment (1-5),Capacity (1-5),Access (1-5),Speed (1-5),Strategic (1-5),Overall Priority Score
1,Steve Cohen / Cohen Foundation,Family Office,New York,N,Cohen Veterans Network staff,$2M+,"Mental Health Clinics, Veterans, Therapy Access",Built 30+ mental health clinics via Cohen Veterans Network. $275M+ committed.,He literally builds mental health clinics. This is his model + training.,$1M-$2M,CVN program staff,"Clinic model: ""You built 30 clinics. We want to build the next one with training.""",Foundation-focused. Long cycle.,5,5,3,2,5,4.3
2,Thomas Insel / Former NIMH,Scientist,San Francisco,Y,Direct - Bay Area mental health,$100K-$500K,"Mental Health, Brain Science, Innovation",Former NIMH Director (13 years). Bay Area.,THE authority on mental health innovation. Endorsement = credibility x10.,$50K-$100K,Direct - CIIS/Bay Area,"Authority: ""Your endorsement signals this clinic meets the highest standard.""",More advisor than major donor. But strategic value enormous.,5,2,5,4,5,4.15
3,Tim Ferriss,Individual,Austin/SF,N,Direct or via founder network,$2M+,"Psychedelics, Mental Health Research, Consciousness","Donated $2M+ to Johns Hopkins, MAPS, Imperial College psilocybin research.",Has funded EXACTLY this type of work. Ketamine clinic = next logical step.,$500K-$1M,Founder network warm intro,"Access: ""You funded the research. This funds the delivery.""",Difficult cold access. Need strong intro.,5,5,2,2,5,4.1
4,Rick Doblin / MAPS,Individual,Boston,N,MAPS network,$500K-$2M,"Psychedelic Therapy, Training, Mental Health",Founded MAPS. 40+ years advocating psychedelic therapy access.,MAPS trains therapists. CIIS clinic = aligned expansion of training pipeline.,$250K-$500K,CIIS/MAPS relationship,"Training: ""This trains the facilitators your field needs.""",MAPS post-FDA shift. Personal vs org capacity.,5,3,4,3,5,4.1
5,Ekaterina Malievskaia / Usona,Individual,"Madison, WI",N,Psychedelic network,$2M+,"Psilocybin, Mental Health, Evidence-Based",Co-founded Usona Institute. Major psilocybin depression trials funder.,Evidence-based psychedelic access + training is her thesis. Ketamine = legal bridge.,$500K-$1M,Psychedelic research network,"""Ketamine is the legal bridge to what you are building with psilocybin.""",Focused on psilocybin. May see ketamine as not frontier enough.,5,4,3,3,4,4.05
6,Jack Kornfield / Spirit Rock,Teacher,"Woodacre, CA",Y,CIIS/contemplative community,$100K-$500K,"Meditation, Consciousness, Mental Health, Education",Spirit Rock (Marin). Leading meditation teacher.,CIIS + Spirit Rock share DNA. Contemplative healing + education.,$50K-$100K,CIIS faculty/contemplative network,"Community: ""Clinical care and contemplative practice — your lifes work.""",Lower capacity. More connector than major donor.,5,2,5,4,4,4.05
7,Christian Angermayer / Apeiron,Family Office,London/Miami,N,Psychedelic investor network,$2M+,"Psychedelics, Mental Health, ATAI",Co-founded ATAI Life Sciences. Major psychedelic investor.,His portfolio companies make therapies. We train people who deliver them.,$500K-$1M,Investor/psychedelic network,"Portfolio: ""Your companies make therapies. We train the deliverers.""",Europe-based. Investor mindset vs donor.,5,5,2,2,4,4.0
8,Joby Pritzker / Tao Capital,Family Office,San Francisco,Y,Bay Area network,$2M+,"Brain Science, Education, Mental Health, Consciousness",Pritzker Neuropsychiatric Disorders Consortium. Bay Area.,Brain science + education + mental health + SF. Family funds neuropsychiatric research.,$500K-$1M,Bay Area investor/foundation network,"Neuropsychiatric: ""Your consortium studies these disorders. We treat them.""",Family vs personal giving vehicles.,5,4,3,2,4,3.95
9,Selena Gomez / Rare Impact Fund,Celebrity/Foundation,Los Angeles,N,Rare Impact Fund staff,$1M+,"Mental Health Access, Youth, Stigma Reduction",Rare Impact Fund: $100M+ goal for mental health access.,Mental health ACCESS is her explicit mission. This clinic IS access.,$250K-$500K,Foundation program staff,"Access: ""You are building a $100M fund for mental health access. This clinic IS access.""",Celebrity fortress. Foundation staff is the path.,5,4,2,2,5,3.85
10,Jack Dorsey / Start Small,Individual,San Francisco,Y,Tech founder network,$2M+,"Mental Health, Meditation, Education",$1B+ pledged to health. Meditation advocate. Bay Area.,Mental health + Bay Area + mindfulness. Publicly committed.,$500K-$1M,Angel Club / tech founders,"Contemplative health: ""Bridges meditation and clinical mental health care.""",Verify current priorities.,4,5,3,2,4,3.85
11,MacKenzie Scott / Yield Giving,Individual,Seattle,N,Yield Giving application,$10M+,"Mental Health, Education, Health Equity, Access",$16B+ donated. Mental health + education + health equity.,Health equity + education + mental health access = exactly this.,$2M-$5M,Yield Giving open application,"Equity: ""No-cost therapy + workforce training for underserved communities.""",Unpredictable. No cultivation. Apply and hope.,5,5,1,1,5,3.8
12,Dustin Moskovitz / Open Phil,Family Office,San Francisco,Y,Open Phil program staff,$10M+,"Mental Health, Education, Consciousness",Mental health = explicit cause area. Bay Area.,"Open Phil explicitly funds mental health. CIIS = evidence-based, scalable.",$500K-$1M,Program officer (mental health),"Scalable: ""Replicable model for evidence-based mental health access + training.""",Rigorous process. Slow.,4,5,3,1,4,3.75
13,Joe Green / PSFC,Individual,San Francisco,Y,Psych network + Angel Club,$500K-$2M,"Psychedelics, Mental Health, Consciousness",Active in Psychedelic Science Funders Collaborative. SF-based.,Bay Area psychedelic funder. Direct alignment.,$250K-$500K,2 mutual connections,"Bay Area: ""This serves your community with the therapy model you believe in.""",Lower profile. Verify capacity.,5,3,3,3,3,3.7
14,Deepak Chopra / Foundation,Individual,San Diego,N,Wellness network,$1M+,"Consciousness, Meditation, Mental Health, Education",Chopra Foundation: consciousness + wellbeing education.,Consciousness + mental health + education = his exact mission.,$250K-$500K,Wellness/consciousness network,"Consciousness + clinical: ""Bridges contemplative wisdom and clinical neuroscience.""",Brand may be polarizing clinically.,4,4,3,3,4,3.7
15,Adam Gazzaley / UCSF,Scientist,San Francisco,Y,CIIS/UCSF network,$100K-$500K,"Neuroscience, Brain Health, Digital Therapeutics",UCSF professor. Neuroscape lab.,UCSF + CIIS collaboration potential.,$50K-$100K,CIIS/UCSF academic network,"Research partnership: ""Build a research bridge between Neuroscape and this clinic.""",More collaborator than donor.,4,2,5,4,4,3.7
16,Laurene Powell Jobs / Emerson,Family Office,Palo Alto,Y,Foundation program staff,$10M+,"Education, Mental Health, Social Impact",XQ Institute. Emerson Collective: mental health + education. Bay Area.,Education + mental health + Bay Area = three pillars of her giving.,$1M-$2M,Foundation LOI,"Education innovation: ""This is XQ for mental health training.""",Very competitive. Foundation cycle.,4,5,2,1,5,3.65
17,Priscilla Chan / CZI,Foundation,Palo Alto,Y,CZI Science staff,$10M+,"Brain Science, Education, Mental Health",CZI: brain science + education core pillars. Bay Area.,Brain science + education + Bay Area. CZI funds both.,$1M-$2M,Foundation LOI + Bay Area intro,"Science + access: ""Evidence-based brain therapy with training in a Bay Area institution.""",Massive = slow. Competitive. Need neuroscience angle.,4,5,2,1,5,3.65
18,Demi Lovato,Celebrity,Los Angeles,N,Management/advocacy network,$500K-$1M,"Mental Health, Recovery, Ketamine, Trauma",Publicly discussed her own ketamine therapy. Major mental health advocate.,She has literally done ketamine therapy. Perfect spokesperson + donor.,$100K-$250K,Management + advocacy network,"Personal: ""You experienced this therapy. This makes it accessible to everyone.""",Personal struggles may affect timing. Smaller capacity.,5,3,2,3,4,3.6
19,1440 Foundation,Foundation,"Scotts Valley, CA",Y,CIIS leadership,$500K-$2M,"Wellness, Education, Consciousness, Growth",1440 Multiversity: wellness + education + consciousness. CA-based.,Education + consciousness + wellness = exact mission.,$250K-$500K,CIIS leadership intro,"Mission: ""We share the same vision — accessible transformative education.""",Verify they make external grants.,4,3,4,3,3,3.55
20,Lady Gaga / Born This Way,Celebrity/Foundation,Los Angeles,N,Born This Way Foundation staff,$1M+,"Youth Mental Health, Stigma, Kindness",Born This Way Foundation: youth mental health. Partners with Yale. $50M+ committed.,Youth mental health + destigmatization. CIIS clinic serves young adults.,$250K-$500K,Foundation program staff,"Youth: ""This serves the young people your foundation fights for.""",Celebrity access = fortress. Foundation staff path.,4,4,2,2,5,3.5
21,Blake Mycoskie / TOMS,Individual,Los Angeles,N,Founder network,$1M+,"Social Impact, Mental Health, Psychedelics, Consciousness",TOMS founder. Open about psychedelics. Madefor wellness.,Social enterprise DNA + psychedelic believer. Understands access models.,$250K-$500K,Founder/operator network,"Give-one model: ""You invented giving access. This clinic IS access.""",Post-TOMS capacity unclear.,4,3,3,3,4,3.45
22,Michael Phelps / Foundation,Celebrity,Scottsdale,N,Foundation staff,$500K-$1M,"Mental Health, Youth, Therapy Access",Phelps Foundation. Open about depression. Talkiatry investor.,Mental health + therapy access. Has invested in therapy companies.,$100K-$250K,Foundation staff + sports network,"Therapy: ""You invested in therapy platforms. This is the in-person equivalent.""",Smaller capacity. Strong brand value.,4,3,3,3,4,3.45
23,Mike Novogratz / Galaxy,Family Office,New York,N,Investor/psychedelic network,$1M+,"Psychedelics, Ayahuasca, Consciousness",Major psychedelic advocate. Galaxy Life Sciences.,Personal psychedelic connection. This makes healing accessible to everyone.,$500K-$1M,Investor network,"Access: ""You experienced transformation. This makes it available to everyone.""",Crypto volatility. More investor than donor.,4,4,2,2,4,3.4
24,George Goldsmith / Compass,Individual,London,N,Psychedelic network,$1M+,"Psilocybin, Therapy Access",Co-founded Compass Pathways.,Therapist training bottleneck for Compass. This addresses it.,$250K-$500K,Psychedelic network,"Bottleneck: ""You need trained therapists. We produce them.""",UK-based. Corporate vs philanthropic.,4,4,2,2,4,3.4
25,Marc Benioff,Individual,San Francisco,Y,SF civic network,$2M+,"Mental Health, Children, Education, Bay Area",UCSF Benioff Childrens. SF health + education philanthropist.,SFs biggest health philanthropist. CIIS is an SF institution.,$1M-$2M,SF civic leaders / UCSF,"Bay Area: ""You built UCSF Benioff. This is the mental health equivalent.""",Very competitive.,3,5,2,2,5,3.4
26,Riverstyx Foundation,Foundation,US,N,Psychedelic insiders,$500K-$2M,"Psychedelics, Consciousness Research",Psychedelic-focused foundation.,Direct psychedelic philanthropy.,$250K-$500K,CIIS/MAPS insider intro,"Field-building: ""Expands clinical infrastructure the field needs.""",Insider-only. Difficult cold.,5,3,2,2,3,3.4
27,Ray Dalio / Philanthropies,Family Office,Greenwich,N,Foundation staff,$10M+,"Meditation, Mental Health, Education, Consciousness",Major meditation/mindfulness funder. TM. Education donor.,Meditation + mental health + education + consciousness.,$1M-$2M,Foundation program staff,"Contemplative: ""This is where meditation meets clinical neuroscience.""",Foundation cycle. Competitive.,4,5,1,1,4,3.35
28,Sean Parker / Parker Foundation,Family Office,San Francisco,Y,Foundation staff,$2M+,"Health, Life Sciences, Civic",Parker Institute for Cancer Immunotherapy. Bay Area.,Health innovation + Bay Area. Funds innovative clinical models.,$500K-$1M,Bay Area foundation network,"Innovation: ""New clinical model — therapy + training in one.""",Cancer-focused primarily.,3,5,2,2,4,3.3
29,Whiteman Foundation,Foundation,US,N,Academic/research contacts,$1M+,"Psychedelics, Academic Research",Funds academic + psychedelic research.,Academic + psychedelic. CIIS = accredited institution.,$500K-$1M,CIIS/university network,"Academic credibility: ""CIIS is 50-year accredited — not a startup.""",Academic focus may not extend to clinical.,4,4,2,2,3,3.3
30,Dave Morin / Slow Ventures,Individual,San Francisco,Y,Angel Club + founder network,$500K-$1M,"Consciousness, Mental Health",Slow Ventures. Consciousness interest. SF.,Bay Area + consciousness + founder-philanthropist.,$100K-$250K,Direct + Angel Club,"Consciousness: ""Intersection of consciousness and clinical care.""",More investor than donor. Lower philanthropy capacity.,3,3,4,4,3,3.3
31,Ron Conway,Individual,San Francisco,Y,Tech founder network,$1M+,"Education, SF Civic, Health",Godfather of SV. Major SF civic philanthropist.,SF institution + education + civic.,$100K-$250K,Angel Club / tech network,"SF civic: ""An SF institution serving SF residents.""",Civic focus may not extend to healthcare.,2,4,4,3,4,3.2
32,Sheri Sobrato / Sobrato Foundation,Family Office,Bay Area,Y,Bay Area network,$2M+,"Bay Area, Education, Health, Community",Major Bay Area philanthropists. Education + health.,Bay Area + education + health. Major local funder.,$250K-$500K,Bay Area philanthropic network,"Local: ""Health care and workforce training for your community.""",May focus housing/basic needs.,3,4,3,2,3,3.15
33,Sand Hill Foundation,Foundation,Bay Area,Y,Direct application,$100K-$500K,"Bay Area, Health, Education",Bay Area community foundation.,"Local foundation, health + education. Direct path.",$50K-$100K,Direct LOI,"Local: ""Bay Area residents + accessible mental health + job training.""",Smaller grants. Good seed money.,3,2,5,4,2,3.15
34,Catherine Oxenberg,Individual,US,N,Direct / niche,$100K-$500K,"Trauma Recovery, Mental Health, Consciousness",NXIVM survivor. Trauma recovery champion.,Trauma recovery + consciousness. Ketamine for trauma = evidence-based.,$50K-$100K,Direct targeted outreach,"Trauma: ""Ketamine therapy is one of the most effective for the trauma you survived.""",Lower capacity. Powerful narrative.,4,2,3,3,3,3.1
35,Arianna Huffington,Individual,New York,N,Wellness network,$500K-$1M,"Mental Health, Wellness, Sleep, Education",Thrive Global: mental health + wellness.,Mental health + wellness + education alignment.,$100K-$250K,Wellness network / direct,"Wellness: ""Thrives mission in clinical form.""",May prefer partnerships over donations.,3,3,3,3,4,3.1
36,Matt Mullenweg,Individual,Houston/SF,N,Angel Club / tech founders,$500K-$1M,"Mental Health, Wellness, Technology, Education",WordPress founder. Mental health investor. Education supporter.,Mental health + education + tech-forward.,$100K-$250K,Angel Club / tech network,"Distributed: ""Mental health infrastructure as important as internet infrastructure.""",May prefer tech-enabled vs clinical.,3,3,3,3,3,3.0
37,Craig Nerenberg,Individual,US,N,Psychedelic donors,$500K-$1M,"Psychedelics, Mental Health, Consciousness",Psychedelic donor community.,Psychedelic donor.,$100K-$250K,Psychedelic network,"Field: ""Expanding psychedelic access through a licensed clinic.""",Low priority unless warm intro.,4,3,1,2,2,2.75
